City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,carnarvon,-24.8667,113.6333,16.79,56,0,4.88,AU,1690509962
109,hermanus,-34.4187,19.2345,11.79,78,0,1.59,ZA,1690509962
110,ust-nera,64.5667,143.2,14.36,46,88,1.18,RU,1690509962
111,punta arenas,-53.15,-70.9167,-2.04,86,100,2.26,CL,1690509911
112,mugia,43.1041,-9.2179,18.84,94,100,8.1,ES,1690509963
113,ocna mures,46.3833,23.85,10.36,71,0,1.33,RO,1690509963
114,chonchi,-42.6128,-73.8092,10.07,99,100,2.01,CL,1690509963
115,kununurra,-15.7667,128.7333,26.99,34,40,3.09,AU,1690509964
116,biscarrosse,44.3945,-1.1672,18.97,94,75,1.03,FR,1690509964
117,meadow lake,34.8014,-106.5436,27.97,40,73,4.87,US,1690509964
118,barra do garcas,-15.89,-52.2567,21.99,32,37,0.71,BR,1690509964
119,mejit,10.2753,170.8646,28.5,79,100,8.74,MH,1690509965
120,childress,34.4264,-100.204,34.96,24,5,4.39,US,1690509708
121,qaryat suluq,31.6682,20.2521,25.71,66,0,3.51,LY,1690509965
122,gulf shores,30.246,-87.7008,29.47,74,0,0.0,US,1690509965
123,mili,6.0815,171.735,28.5,76,100,6.69,MH,1690509966
124,egilsstadir,65.2653,-14.3948,6.95,100,75,3.6,IS,1690509966
125,saint-leu,-21.15,55.2833,18.48,69,16,4.48,RE,1690509966
126,shenjiamen,29.9576,122.298,27.71,85,100,11.44,CN,1690509966
127,pechora,65.1472,57.2244,16.47,83,100,2.69,RU,1690509966
128,kolonia,50.9333,6.95,17.94,90,100,3.09,DE,1690509959
129,kupang,-10.1667,123.5833,28.32,65,40,6.69,ID,1690509675
130,bikenibeu village,1.3673,173.1241,30.98,74,40,2.06,KI,1690509967
131,mahalapye,-23.1041,26.8142,14.68,46,0,4.01,BW,1690509967
132,vadso,70.0744,29.7487,11.49,100,100,3.09,NO,1690509967
133,singkil,-7.9855,111.4161,25.8,61,46,3.38,ID,1690509968
134,iskateley,67.6803,53.1512,13.99,85,100,2.46,RU,1690509968
135,sitka,57.0531,-135.33,18.94,68,40,8.23,US,1690509968
136,alofi,-19.0595,-169.9187,22.94,83,100,2.06,NU,1690509968
137,antsiranana,-12.2787,49.2917,22.04,62,21,6.29,MG,1690509968
138,yeppoon,-23.1333,150.7333,22.88,58,14,4.63,AU,1690509969
139,utrik,11.2278,169.8474,28.55,79,48,8.59,MH,1690509969
140,ploudalmezeau,48.5333,-4.65,16.82,100,100,3.09,FR,1690509969
141,tsiombe,-25.3,45.4833,15.81,88,0,3.11,MG,1690509969
142,wailua homesteads,22.0669,-159.378,30.24,75,20,7.2,US,1690509970
143,hirara,24.8,125.2833,30.92,84,75,11.32,JP,1690509970
144,wau,7.7029,27.9953,20.8,85,98,1.3,SS,1690509970
145,coquimbo,-29.9533,-71.3436,11.85,93,0,2.57,CL,1690509970
146,torchiarolo,40.4842,18.0525,20.65,53,0,3.23,IT,1690509970
147,colesberg,-30.72,25.0972,7.92,37,0,2.11,ZA,1690509971
148,katsuura,35.1333,140.3,28.39,70,10,4.38,JP,1690509971
149,kapuskasing,49.4169,-82.4331,25.05,65,75,5.66,CA,1690509744
150,sidi yahia el gharb,34.3065,-6.3062,20.37,87,0,1.35,MA,1690509971
151,sijunjung,-0.6876,100.9537,26.76,69,100,0.51,ID,1690509971
152,zabaykal'sk,49.6333,117.3167,23.99,46,41,4.99,RU,1690509971
153,talnakh,69.4865,88.3972,25.67,38,5,2.99,RU,1690509972
154,tianchang,37.9981,114.0156,30.55,48,100,3.34,CN,1690509972
155,tongchuanshi,35.0806,109.0897,22.17,86,100,3.09,CN,1690509973
156,el porvenir,13.7617,-87.3458,27.63,59,100,1.71,HN,1690509973
157,hasaki,35.7333,140.8333,38.5,71,1,5.5,JP,1690509973
158,fale old settlement,-9.3852,-171.2468,27.99,77,11,7.38,TK,1690509973
159,flying fish cove,-10.4217,105.6791,25.82,78,100,6.69,CX,1690509974
